column,bin_start,bin_end,mz_start,mz_end,mean_abs,mean_signed,rows_used,nonzero_rows,value_correlation
1677,1677,1677,7031.0,7034.0,0.021665455432474966,-0.00063011043789215,426,426,0.6644023058311295
16,16,16,2048.0,2051.0,0.021612583877046686,0.0007002321856253719,426,426,0.8700905141553273
558,558,558,3674.0,3677.0,0.021359786428344914,-0.0007252647161032729,426,426,-0.7831135705263403
3398,3398,3398,12194.0,12197.0,0.021325820690180842,0.0003791823542639547,426,426,-0.705968533432974
2075,2075,2075,8225.0,8228.0,0.021273685384806947,0.0016389749200826002,426,426,-0.6594319242358685
3263,3263,3263,11789.0,11792.0,0.021175629606937967,0.0015259829138073724,426,426,0.6455478321109503
1289,1289,1289,5867.0,5870.0,0.021141160223031093,0.00040360940689654454,426,426,-0.7944291399311976
3396,3396,3396,12188.0,12191.0,0.021058149343682907,0.00036658481426640304,426,426,-0.6231682088674768
468,468,468,3404.0,3407.0,0.020007386334367404,0.0008809203062316429,426,426,-0.7485506087831731
4666,4666,4666,15998.0,16001.0,0.019706636958026998,0.0034661612341375663,426,426,-0.31192091489969115
654,654,654,3962.0,3965.0,0.01969815188837199,0.00011250416775021868,426,426,-0.7227959463628444
1294,1294,1294,5882.0,5885.0,0.019638292541447458,0.0021471091949412783,426,426,0.7326086509413278
4020,4020,4020,14060.0,14063.0,0.01961783630905861,-0.0017734754786211007,426,426,0.7052258879282266
275,275,275,2825.0,2828.0,0.019614172648153638,0.002665681160191964,426,426,0.5030428666502389
1270,1270,1270,5810.0,5813.0,0.019602237212674158,-0.0012577369710910908,426,426,-0.6792797673213825
4287,4287,4287,14861.0,14864.0,0.01948041422408426,-0.0026996928499561,426,426,0.7593033740769368
3921,3921,3921,13763.0,13766.0,0.019256859493493542,-0.00036661427895085457,426,426,0.8984886297102423
3306,3306,3306,11918.0,11921.0,0.019215920357464993,0.0009392233604254624,426,426,-0.7568577962339824
1651,1651,1651,6953.0,6956.0,0.019167285109713286,0.00028640263522611146,426,426,-0.7813947911189413
518,518,518,3554.0,3557.0,0.0190857845324906,-0.0014934108222233121,426,426,0.7099348259276003
3935,3935,3935,13805.0,13808.0,0.019033807221496144,0.0010334241155372872,426,426,0.6768818004172592
