side,cut,n_covered,coverage,achieved
resistant,0.24621634575154422,164,0.38497652582159625,0.4024390243902439
resistant,0.2472938752013909,163,0.3826291079812207,0.4049079754601227
resistant,0.24787542774849008,162,0.38028169014084506,0.4074074074074074
resistant,0.24956594824135492,161,0.3779342723004695,0.40993788819875776
resistant,0.2513725186562422,160,0.3755868544600939,0.40625
resistant,0.2516734749282549,159,0.3732394366197183,0.4088050314465409
resistant,0.2525397814492363,158,0.37089201877934275,0.41139240506329117
resistant,0.252958814391988,157,0.3685446009389671,0.4140127388535032
resistant,0.2532865191737095,156,0.36619718309859156,0.4166666666666667
resistant,0.25436958380066516,155,0.36384976525821594,0.4129032258064516
resistant,0.2562283793687818,154,0.3615023474178404,0.4155844155844156
resistant,0.25708521469362655,153,0.3591549295774648,0.41830065359477125
resistant,0.25736615682005437,152,0.3568075117370892,0.42105263157894735
resistant,0.25746520325911104,151,0.3544600938967136,0.41721854304635764
resistant,0.2609539055787103,150,0.352112676056338,0.42
resistant,0.261057817863767,149,0.34976525821596244,0.4228187919463087
resistant,0.2621703856297145,148,0.3474178403755869,0.42567567567567566
resistant,0.26230086033076117,147,0.34507042253521125,0.42857142857142855
resistant,0.26410372317590963,146,0.3427230046948357,0.4246575342465753
resistant,0.2643468924148329,145,0.3403755868544601,0.42758620689655175
resistant,0.2643647445762761,144,0.3380281690140845,0.4305555555555556
resistant,0.2650223923429494,143,0.33568075117370894,0.42657342657342656
resistant,0.26536596812885926,142,0.3333333333333333,0.4295774647887324
resistant,0.2659132930126984,141,0.33098591549295775,0.4326241134751773
resistant,0.26877365464883035,140,0.3286384976525822,0.4357142857142857
resistant,0.2695614843153668,139,0.32629107981220656,0.43884892086330934
resistant,0.2731877119092096,138,0.323943661971831,0.4420289855072464
resistant,0.2734390619679224,137,0.3215962441314554,0.43795620437956206
resistant,0.2738940275836197,136,0.3192488262910798,0.4338235294117647
resistant,0.27524447435790494,135,0.31690140845070425,0.42962962962962964
resistant,0.27597137906474367,134,0.3145539906103286,0.43283582089552236
resistant,0.2761680714209265,133,0.31220657276995306,0.43609022556390975
